DP_SECONDARY_ID,Primary Care Service Area (PCSA) Label,Primary Care Service Area ID,State Abbreviation,Total Primary Care Providers (PCPs),Non-Institutionalized Population,Ratio of Non-Institutionalized Population to Total Number of Primary Care Providers,Percent of PCSA in Rural Area,Population Age 0-14 Years,Population Age 15-64 Years,Population Age 65 Years or Greater,Percent of Population Age 0-14 Years,Percent of Population Age 15-64 Years,Percent of Population Age 65 Years or Greater,Population Male,Population Female,Percent of Population Male,Percent of Population Female,Percent of Population Black,Percent of Population Hispanic,Percent of Population Non-Black,Percent of Population Non-Hispanic,Percent of Population Non-White,Percent of Population White,Number of Women of Childbearing Age,Population American Indian and Alaska Native Alone,Population Asian Alone,Population Native Hawaiian and Other Pacific Islander Alone,Families for Whom Poverty Status was Determined,Families with Income Below 1.00 Times the U.S. Federal Poverty Level Percent of Total by Primary Care Service Area,Percent of Population with Known Income Below 1.00 Times the U.S. Poverty Guidelines by Primary Care Service Area,Percent of Population with Known Income Below 2.00 Times the U.S. Poverty Guidelines by Primary Care Service Area,Population Density,Rural Population,Total Population,Preference Index,Localization Index,Number of Primary Care Physicians,Number of Primary Care Physicians, Non-Federal,Number of Specialist Physicians, Non-Federal,Number of OB-GYN Physicians, Non-Federal,Number of Primary Care Physician Assistants,Number of GP/IM/Pediatric Physician Assistants,Number of OB/GYN Physician Assistants,Number of Physician Assistants with Specialty as Geriatrics or Unknown,Number of Dentists, Non-Federal, Full-Time Practice,Number of Dentists, Non-Federal, Part-Time Practice,Primary Care FTE Physicians for MUA or HPSA Purposes,Crude Rate: Primary Care Physicians, Clinically Active,Population Per Clinically Active Primary Care Physician,Number of Federally Qualified Health Center Look Alikes Located in PCSA,Number of Federally Qualified Health Centers Located in PCSA,Number of Tribal Run Sites Located in PCSA,Number of Indian Health Service Sites Located in PCSA,Number of Rural Health Clinics Located in PCSA,
"04013061024","AZ00_GOODYEAR","04013061024","AZ","155","317126","2,046:1","73.7","94343","229094","23144","8.86","66.10","6.68","170543","176038","49.21","50.79","7.62","45.13","92.38","54.87","37.44","62.56","81458","5578","10905","765","77933","7665","12.32","32.88","137.5313","21540","346581","0.5740","0.5492","125","116","220","27","30","19","2","9","104","5","157.10","36.0666","2772.6480","2","6","0","0","0"
"04013422637","AZ01_MESA","04013422637","AZ","87","229209","2,635:1","4.2","47904","133319","50092","6.74","57.64","21.66","112258","119057","48.53","51.47","2.48","22.42","97.52","77.58","18.00","82.00","41204","2984","4125","619","61579","5116","11.50","32.22","2453.2692","594","231315","0.3255","0.3446","71","65","115","13","16","11","1","4","97","8","88.40","30.6941","3257.9577","0","3","0","0","0"
"04013817000","AZ00_QUEEN CREEK","04013817000","AZ","30","102660","3,422:1","0.0","39292","77552","6921","9.46","62.66","5.59","61546","62219","49.73","50.27","4.33","21.93","95.67","78.07","19.95","80.05","28050","1301","2675","295","26418","1239","6.40","25.68","511.7593","7064","123765","0.3001","0.2904","24","23","3","2","6","6","0","0","21","1","26.00","19.3916","5156.8750","0","1","0","0","0"
"04015953000","AZ00_LAKE HAVASU CITY","04015953000","AZ","32","55390","1,731:1","0.1","7945","32936","15315","5.08","58.61","27.25","27823","28373","49.51","50.49","0.67","12.01","99.33","87.99","9.77","90.23","7716","573","526","69","16245","1436","11.88","32.48","100.4996","2769","56196","0.9034","0.9181","23","21","51","5","9","7","0","2","20","1","26.80","40.9282","2443.3043","0","1","0","0","0"
"04017942500","AZ00_KAYENTA","04017942500","AZ","4","11020","2,755:1","35.8","3331","7151","926","9.89","62.68","8.12","5564","5844","48.77","51.23","0.12","1.70","99.88","98.30","97.28","2.72","2390","10832","7","2","2345","905","42.05","68.72","4.1950","6720","11408","0.5501","0.4791","3","3","0","0","1","1","0","0","1","0","3.00","26.2973","3802.6667","0","2","0","3","0"
"04017940013","AZ00_POLACCA","04017940013","AZ","2","10987","5,494:1","100.0","2797","6274","967","9.67","62.50","9.63","4939","5099","49.20","50.80","0.22","1.73","99.78","98.27","97.48","2.52","1945","9595","37","5","2270","803","40.66","64.63","5.4313","10038","10038","0.3070","0.2557","2","2","0","0","0","0","0","0","0","0","3.00","19.9243","5019.0000","0","0","0","4","0"
"04021941200","AZ00_COOLIDGE","04021941200","AZ","12","10645","887:1","34.6","3547","7481","674","9.62","63.93","5.76","5531","6171","47.27","52.73","0.31","15.41","99.69","84.59","97.97","2.03","2726","10822","5","10","2500","1002","47.71","67.29","21.2145","11247","11702","0.4063","0.4333","10","9","5","0","2","1","0","1","2","0","10.50","85.4555","1170.2000","","","","",""
"06075025300","CA02_SAN FRANCISCO","06075025300","CA","202","167906","831:1","0.0","23011","131201","16752","3.83","76.74","9.80","88868","82096","51.98","48.02","9.78","27.80","90.22","72.20","51.84","48.16","41905","1435","37450","1445","31529","2936","12.19","29.32","16674.8614","0","170964","0.2905","0.2657","184","179","269","20","18","4","2","12","77","6","249.60","107.6250","929.1522","2","30","0","0","0"
"06081609800","CA01_REDWOOD CITY","06081609800","CA","173","132470","766:1","0.0","27736","93267","15725","6.18","68.21","11.50","68036","68692","49.76","50.24","1.90","32.52","98.10","67.48","35.01","64.99","27139","749","14420","1148","33879","1914","8.85","22.92","3935.9842","767","136728","0.5749","0.6098","164","161","314","33","9","2","0","7","119","27","209.10","119.9462","833.7073","0","5","0","0","0"
"06081613700","CA02_REDWOOD CITY","06081613700","CA","24","27519","1,147:1","99.4","5379","19798","3717","6.40","68.52","12.86","14380","14514","49.77","50.23","0.75","26.87","99.25","73.13","22.36","77.64","4773","204","1094","46","7122","282","5.44","16.72","105.7504","8181","28894","0.4246","0.4987","23","22","51","6","1","1","0","0","10","4","28.10","79.6013","1256.2609","0","2","0","0","0"
