dp_secondary_id,primary_care_service_area_pcsa_label,primary_care_service_area_id,state_abbreviation,total_primary_care_providers_pcps,non_institutionalized_population,ratio_of_non_institutionalized_population_to_total_number_of_primary_care_providers,percent_of_pcsa_in_rural_area,population_age_0_14_years,population_age_15_64_years,population_age_65_years_or_greater,percent_of_population_age_0_14_years,percent_of_population_age_15_64_years,percent_of_population_age_65_years_or_greater,population_male,population_female,percent_of_population_male,percent_of_population_female,percent_of_population_black,percent_of_population_hispanic,percent_of_population_non_black,percent_of_population_non_hispanic,percent_of_population_non_white,percent_of_population_white,number_of_women_of_childbearing_age,population_american_indian_and_alaska_native_alone,population_asian_alone,population_native_hawaiian_and_other_pacific_islander_alone,families_for_whom_poverty_status_was_determined,families_with_income_below_1_00_times_the_u_s_federal_poverty_level_percent_of_total_by_primary_care_service_area,percent_of_population_with_known_income_below_1_00_times_the_u_s_poverty_guidelines_by_primary_care_service_area,percent_of_population_with_known_income_below_2_00_times_the_u_s_poverty_guidelines_by_primary_care_service_area,population_density,rural_population,total_population,preference_index,localization_index,number_of_primary_care_physicians,number_of_primary_care_physicians_1,non_federal,number_of_specialist_physicians,non_federal_1,number_of_ob_gyn_physicians,non_federal_2,number_of_primary_care_physician_assistants,number_of_gp_im_pediatric_physician_assistants,number_of_ob_gyn_physician_assistants,number_of_physician_assistants_with_specialty_as_geriatrics_or_unknown,number_of_dentists,non_federal_3,full_time_practice,number_of_dentists_1,non_federal_4,part_time_practice,primary_care_fte_physicians_for_mua_or_hpsa_purposes,crude_rate_primary_care_physicians,clinically_active,population_per_clinically_active_primary_care_physician,number_of_federally_qualified_health_center_look_alikes_located_in_pcsa,number_of_federally_qualified_health_centers_located_in_pcsa,number_of_tribal_run_sites_located_in_pcsa,number_of_indian_health_service_sites_located_in_pcsa,number_of_rural_health_clinics_located_in_pcsa,x64
06025010600,CA00_BRAWLEY,06025010600,CA,17,47222,"2,778:1",82.7,12354,34097,5118,8.03,66.12,9.92,27377,24192,53.09,46.91,4.94,73.94,95.06,26.06,44.98,55.02,9808,581,796,75,11442,2169,22.55,50.28,18.4342,11617,51569,0.6019,0.6449,13,12,33,7,4,2,1,1,7,0,19.6,25.2089,3966.8462,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06025011900,CA00_CALEXICO,06025011900,CA,18,53847,"2,992:1",0,14563,36903,6333,9.01,63.85,10.96,27962,29837,48.38,51.62,0.46,93.1,99.54,6.9,38.98,61.02,12271,334,680,31,12457,2609,21.18,53.63,222.4007,2717,57799,0.4394,0.4769,16,16,8,2,2,1,0,1,2,2,16.5,27.6821,3612.4375,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06029005203,CA00_WELDON,06029005203,CA,18,17242,958:1,100,2369,10650,4816,4.84,59.71,27,8846,8989,49.6,50.4,0.3,9.08,99.7,90.92,11,89,2242,443,107,15,4665,576,17.89,47.3,8.1865,14564,17835,0.6032,0.5864,14,14,11,3,4,2,1,1,2,3,18.4,78.4973,1273.9286,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06029005004,CA00_DELANO,06029005004,CA,29,67289,"2,320:1",0,22188,56826,4896,8.45,67.72,5.83,48300,35610,57.56,42.44,5.51,78.22,94.49,21.78,62.18,37.82,15826,806,7686,43,14481,4157,31.9,67.77,180.6388,5199,83910,0.7782,0.8136,27,26,19,3,2,1,0,1,15,5,30.2,32.1773,3107.7778,0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06035040305,CA00_SUSANVILLE,06035040305,CA,25,23009,920:1,100,4797,25159,3117,5.29,76.07,9.42,21414,11659,64.75,35.25,8.48,17.81,91.52,82.19,27.56,72.44,4228,1186,344,164,6476,708,14.7,28.98,20.1801,22788,33073,0.8318,0.8448,19,18,10,1,6,6,0,0,9,6,17.7,57.4487,1740.6842,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06073017056,CA03_SAN DIEGO,06073017056,CA,56,79027,"1,411:1",0,17418,54552,5526,7.66,70.39,7.13,38161,39335,49.24,50.76,2.59,9.65,97.41,90.35,40.63,59.37,16640,263,22491,210,21541,652,4.49,11.57,4206.2448,134,77496,0.1555,0.138,51,51,84,9,5,3,0,2,65,9,65.4,65.8098,1519.5294,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06001451602,CA00_LIVERMORE,06001451602,CA,65,80148,"1,233:1",0,17262,57081,8781,7.25,68.67,10.56,41323,41801,49.71,50.29,2.06,20.78,97.94,79.22,25.06,74.94,16328,480,6856,276,21170,843,5.51,15.04,330.1757,2051,83124,0.4412,0.4678,61,52,23,8,4,2,0,2,57,10,63.1,73.3843,1362.6885,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06005000402,CA00_PINE GROVE,06005000402,CA,29,38197,"1,317:1",77.1,5439,27827,8857,4.93,66.06,21.03,22742,19381,53.99,46.01,2.3,11.93,97.7,88.07,12.76,87.24,5151,846,441,90,11115,576,9.01,24.16,54.4445,27048,42123,0.8279,0.8346,25,23,22,3,4,2,0,2,21,5,27,59.35,1684.92,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06009000504,CA00_ARNOLD,06009000504,CA,5,6005,"1,201:1",99.9,807,3965,1832,4.8,60.04,27.74,3378,3226,51.15,48.85,0.39,6.06,99.61,93.94,5.97,94.03,690,42,75,5,1828,129,8.38,22.13,36.3021,6604,6604,0.5678,0.5749,3,3,1,0,2,2,0,0,3,0,3,45.427,2201.3333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06017030803,CA00_SHINGLE SPRINGS,06017030803,CA,24,44571,"1,857:1",0,8429,29579,6905,7.31,65.86,15.37,22117,22796,49.24,50.76,0.55,9.51,99.45,90.49,9.91,90.09,7197,600,917,72,13072,473,5.13,14.3,301.8231,16639,44913,0.3784,0.4022,19,18,10,3,5,1,0,4,18,5,21.3,42.304,2363.8421,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
